STER		SKOR, STIP, STIPB	SKOR
SKÄS		SKOR, SKORB, STIP, STIPB	SKOR, SKORB, SJSK, STOI
STOP		SKOR, SKORB, STIP, STIPB	SKOR, SKORB, SJSK, STOI
STOE		SKOR, SKORB, STIP, STIPB	SKOR, SJSK, STOI, SKORB
STIP		SKOR, SKORB, STIP, STIPB	SKOR, SJSK, SJPM, SJTK, STOI, SKAN, SKORB
STIPB		SKOR, STIP, STIPB	SKOR, SJSK, SJPM, SJTK, SKAN, SKORB
STIPC		SKOR, STIP, STIPB	SKOR, SJSK, SJPM, SJTK, SKAN, SKORB
SVÄI		SKOR, STIP, STIPB, SKORB	SKOR, SJSK, SJTK, STOI, SKAN, SKORB
SVVÄI		SKOR, STIP, STIPB, SKORB	SKOR, SJSK, SJTK, STOI, SKAN, SKORB
SKAN		SKOR, STIP, STIPB, SKORB	SKOR, SJSK, SJPM, SJTK, STOI, SKAN, SKORB
SKER	SKAN	SKOR, STIP, SKORB	SKOR, SJSK, SJPM, SKORB
SKOR		SKOR	SKOR, SKORB
SKORB		SKOR	SKORB, SKOR
STOI			
SJSK			
SJTK			
SJPM			
SEST	SKAN	SKOR, STIP, SKORB	SKOR, SKORB, SJPM, SJTK, SKAN
STII		SKOR, STIP, SKORB	SKOR, SJSK, SJPM, SJTK, SKAN, SKORB
SYLL		SKOR, STIP, SKORB	SKOR, SKORB, SJPM, SJTK, SKAN
SKYS		SKOR, STIP	STOI, SKOR
